asset_id,day,age_years,days_since_maintenance,temperature,vibration,current_draw,is_anomaly,is_emergency_fault,days_until_failure
1,0,7,22,45.4,2.392,16.32,0,0,999
1,1,7,23,42.65,2.236,15.34,0,0,999
1,2,7,24,42.65,2.191,14.18,0,0,999
1,3,7,25,40.76,2.07,14.9,0,0,999
1,4,7,26,43.82,2.018,14.58,0,0,999
1,5,7,27,45.55,2.121,15.76,0,0,999
1,6,7,28,41.21,2.073,15.8,0,0,999
1,7,7,29,41.62,2.211,15.23,0,0,999
1,8,7,30,42.91,2.064,17.19,0,0,999
1,9,7,31,43.33,1.996,16.37,0,0,999
1,10,7,32,41.52,2.186,14.14,0,0,999
1,11,7,33,41.36,2.184,16.3,0,0,999
1,12,7,34,43.61,2.137,15.47,0,0,999
1,13,7,35,41.13,2.047,15.34,0,0,999
1,14,7,36,44.93,2.206,14.3,0,0,999
1,15,7,37,43.84,2.097,15.17,0,0,999
1,16,7,38,44.27,2.309,16.46,0,0,999
1,17,7,39,42.09,2.108,15.98,0,0,999
1,18,7,40,44.81,2.083,15.56,0,0,999
1,19,7,41,41.69,1.975,16.36,0,0,999
1,20,7,42,45.38,2.144,16.51,0,0,999
1,21,7,43,43.89,2.058,16.0,0,0,999
1,22,7,44,45.66,2.149,16.96,0,0,999
1,23,7,45,39.42,2.278,15.78,0,0,999
1,24,7,46,42.9,2.168,14.12,0,0,999
1,25,7,47,43.02,2.208,16.89,0,0,999
1,26,7,48,42.57,2.033,15.31,0,0,999
1,27,7,49,44.72,2.204,15.29,0,0,999
1,28,7,50,44.12,2.169,16.49,0,0,999
1,29,7,51,42.3,2.105,15.4,0,0,999
1,30,7,52,41.15,2.199,15.92,0,0,999
1,31,7,53,43.36,2.119,14.58,0,0,999
1,32,7,54,42.72,2.103,15.07,0,0,999
1,33,7,55,43.11,2.215,17.22,0,0,999
1,34,7,56,43.61,2.193,15.65,0,0,999
1,35,7,57,40.47,2.151,15.76,0,0,999
1,36,7,58,47.04,2.126,15.95,0,0,999
1,37,7,59,43.3,1.979,16.63,0,0,999
1,38,7,60,44.48,2.273,14.98,0,0,999
1,39,7,61,45.45,1.944,16.18,0,0,999
1,40,7,62,46.63,2.006,15.26,0,0,999
1,41,7,63,43.5,2.079,14.47,0,0,999
1,42,7,64,43.45,1.995,16.09,0,0,999
1,43,7,65,41.97,2.387,15.08,0,0,999
1,44,7,66,42.87,2.277,14.73,0,0,999
1,45,7,67,43.69,2.351,14.42,0,0,999
1,46,7,68,43.63,2.194,16.34,0,0,999
1,47,7,69,41.49,1.957,16.13,0,0,999
1,48,7,70,43.79,2.192,15.99,0,0,999
1,49,7,71,42.33,2.189,15.95,0,0,999
1,50,7,72,42.28,2.434,16.09,0,0,999
1,51,7,73,41.56,2.253,14.93,0,0,999
1,52,7,74,44.53,2.328,15.05,0,0,999
1,53,7,75,44.79,2.217,16.37,0,0,999
1,54,7,76,46.19,2.118,15.11,0,0,999
1,55,7,77,42.02,2.032,15.65,0,0,999
1,56,7,78,43.86,2.196,16.37,0,0,999
1,57,7,79,43.37,2.373,15.5,0,0,999
1,58,7,80,47.43,2.248,15.03,0,0,999
1,59,7,81,41.74,2.227,15.53,0,0,999
1,60,7,82,44.42,2.226,15.65,0,0,999
1,61,7,83,42.08,1.927,15.35,0,0,999
1,62,7,84,44.63,2.187,14.71,0,0,999
1,63,7,85,43.61,2.212,15.0,0,0,999
1,64,7,86,43.58,2.163,14.8,0,0,999
1,65,7,87,43.89,2.239,16.58,0,0,999
1,66,7,88,44.93,1.948,14.96,0,0,999
1,67,7,89,44.12,2.232,16.12,0,0,999
1,68,7,90,49.13,2.24,16.62,0,0,999
1,69,7,91,44.78,2.252,15.46,0,0,999
1,70,7,92,44.49,2.039,15.52,0,0,999
1,71,7,93,42.62,2.167,17.56,0,0,999
1,72,7,94,40.55,2.258,14.42,0,0,999
1,73,7,95,42.64,2.318,15.76,0,0,999
1,74,7,96,41.73,2.047,16.25,0,0,999
1,75,7,97,42.25,2.187,15.75,0,0,999
1,76,7,98,42.37,2.476,16.22,0,0,999
1,77,7,99,40.31,2.183,15.18,0,0,999
1,78,7,100,44.63,2.036,15.62,0,0,999
1,79,7,101,44.11,2.284,14.75,0,0,999
1,80,7,102,42.85,2.083,15.19,0,0,999
1,81,7,103,46.0,2.215,14.7,0,0,999
1,82,7,104,44.73,2.473,16.54,0,0,999
1,83,7,105,41.07,2.082,16.72,0,0,999
1,84,7,106,42.29,2.221,16.33,0,0,999
1,85,7,107,41.96,2.146,13.12,0,0,999
1,86,7,108,41.81,2.117,14.71,0,0,999
1,87,7,109,45.8,1.94,15.36,0,0,999
1,88,7,110,43.55,2.371,14.56,0,0,999
1,89,7,111,45.09,2.156,14.93,0,0,999
2,0,16,26,47.3,2.094,14.26,0,0,999
2,1,16,27,46.69,2.011,15.46,0,0,999
2,2,16,28,48.09,2.006,14.18,0,0,999
2,3,16,29,47.27,1.807,14.53,0,0,999
2,4,16,30,45.76,1.923,13.86,0,0,999
2,5,16,31,48.06,1.766,16.35,0,0,999
2,6,16,32,44.7,2.132,15.07,0,0,999
2,7,16,33,43.81,1.783,16.15,0,0,999
2,8,16,34,47.06,1.927,13.32,0,0,999
2,9,16,35,48.47,2.22,16.44,0,0,999
2,10,16,36,45.46,1.997,15.49,0,0,999
2,11,16,37,44.1,1.966,15.95,0,0,999
2,12,16,38,47.53,1.773,14.4,0,0,999
2,13,16,39,47.57,2.034,13.29,0,0,999
2,14,16,40,42.7,1.928,14.62,0,0,999
2,15,16,41,45.94,1.878,15.88,0,0,999
2,16,16,42,46.54,1.979,14.02,0,0,999
2,17,16,43,41.34,2.108,16.81,0,0,999
2,18,16,44,45.87,1.977,15.35,0,0,999
2,19,16,45,48.9,2.073,15.49,0,0,999
2,20,16,46,46.47,1.948,13.94,0,0,999
2,21,16,47,45.81,2.072,14.9,0,0,999
2,22,16,48,46.45,1.763,15.45,0,0,999
2,23,16,49,44.19,1.983,14.94,0,0,999
2,24,16,50,43.77,2.1,14.96,0,0,999
2,25,16,51,49.18,2.161,14.39,0,0,999
2,26,16,52,45.2,1.763,13.82,0,0,999
2,27,16,53,45.75,2.156,13.56,0,0,999
2,28,16,54,47.66,2.055,15.54,0,0,999
2,29,16,55,47.49,1.774,15.7,0,0,999
2,30,16,56,45.56,1.57,15.14,0,0,999
2,31,16,57,45.12,2.143,14.86,0,0,999
2,32,16,58,46.45,1.998,14.88,0,0,999
2,33,16,59,46.23,2.066,14.24,0,0,999
2,34,16,60,45.33,1.794,16.24,0,0,999
2,35,16,61,45.33,1.918,14.61,0,0,999
2,36,16,62,45.92,1.829,15.46,0,0,999
2,37,16,63,44.83,1.736,14.64,0,0,999
2,38,16,64,45.19,1.739,14.83,0,0,999
2,39,16,65,43.9,2.198,13.9,0,0,999
2,40,16,66,45.42,1.879,16.44,0,0,999
2,41,16,67,43.79,1.961,15.92,0,0,999
2,42,16,68,45.92,1.764,15.0,0,0,999
2,43,16,69,48.68,1.847,16.24,0,0,999
2,44,16,70,46.77,2.124,15.27,0,0,999
2,45,16,71,45.66,2.185,15.27,0,0,999
2,46,16,72,46.64,2.06,15.83,0,0,999
2,47,16,73,47.61,1.737,14.58,0,0,999
2,48,16,74,45.4,1.822,14.39,0,0,999
2,49,16,75,45.38,1.99,15.49,0,0,999
2,50,16,76,46.38,1.875,16.11,0,0,999
2,51,16,77,46.25,2.08,14.64,0,0,999
2,52,16,78,47.01,2.141,13.0,0,0,999
2,53,16,79,45.4,2.028,16.06,0,0,999
2,54,16,80,46.69,1.947,16.38,0,0,999
2,55,16,81,48.3,1.809,15.18,0,0,999
2,56,16,82,46.93,2.197,15.78,0,0,999
2,57,16,83,46.23,1.972,13.58,0,0,999
2,58,16,84,47.84,2.036,16.06,0,0,999
2,59,16,85,46.17,1.958,14.71,0,0,999
2,60,16,86,44.66,1.849,13.64,0,0,999
2,61,16,87,47.76,1.613,16.72,0,0,999
2,62,16,88,43.74,2.164,14.36,0,0,999
2,63,16,89,47.23,1.826,16.43,0,0,999
2,64,16,90,46.45,2.1,15.15,0,0,999
2,65,16,91,46.92,2.032,14.67,0,0,999
2,66,16,92,44.47,1.744,15.13,0,0,999
2,67,16,93,45.65,1.617,15.5,0,0,999
2,68,16,94,44.56,1.765,15.06,0,0,999
2,69,16,95,45.04,1.958,16.67,0,0,999
2,70,16,96,45.82,1.78,15.24,0,0,999
2,71,16,97,45.22,1.943,15.34,0,0,999
2,72,16,98,46.33,1.948,15.25,0,0,999
2,73,16,99,48.78,1.901,15.19,0,0,999
2,74,16,100,47.69,2.01,14.8,0,0,999
2,75,16,101,47.74,1.809,14.91,0,0,999
2,76,16,102,45.23,2.026,16.04,0,0,999
2,77,16,103,46.72,1.951,14.39,0,0,999
2,78,16,104,45.33,1.76,13.35,0,0,999
2,79,16,105,45.8,1.895,16.83,0,0,999
2,80,16,106,48.73,2.023,16.76,0,0,999
